a lot of@8許多，(片)
abroad@6國外，海外，(adv)
absent@6缺席的，心不在焉的，(adj)
accident@8意外的事，事故，(n)
achieve@7完成，達到，實現，(vt)
action@6動作，行動，(n)
activity@8活動，(n)
admit@5承認，准許…進入，准許…加入，(vt)
adult@5成人，(n)
affect@6影響，(v)
aid@3幫助，援助，幫助者，有幫助的事物，(n)，資助，援助，幫助，(vt)
AIDS@4愛滋病，(n)
air conditioner@15空調機，(n)
alarm@5警報，(n)
alarm clock@11鬧鐘，(n)
album@5相簿，(n)
alike@5同樣的，相像的，(adj)
aloud@5出聲地，大聲地，(adv)
alphabet@8字母，字母表，(n)
ambulance@9救護車，(n)
ancient@7已往的，古代的，遠古的，舊式的，(adj)
ankle@5踝，(n)
ant@3螞蟻，(n)
apologize@9道歉，認錯，(vi)
apply@5申請，(vi)，應用，(vt)
appreciate@10瞭解，欣賞，感激，升值，(v)
armchair@8扶手椅，(n)
army@4軍隊，軍，(n)
arrange@7安排，(v)
arrest@6逮捕，拘留，(vt)
article@7文章，論文，條款，物件，[語法]冠詞，(n)
as if@5好像，(片)
as soon as@10儘快，(片)
as well as@10也，不僅…而且，(片)
Asia@4亞洲，(n)
assume@6假定，設想，(vt)
Australia@9澳大利亞，(n)
avoid@5避免，(v)
baby sitter@11褓母，(n)
badminton@9羽毛球，(n)
balcony@7陽臺，(n)
barber@6理髮師，(n)
bark@4(狗等)吠，叫，(vi)，大聲叫喊，(vt)
base@4基地，(n)，建立在…基礎上，(vt)
basement@8地下室，(n)
basis@5基礎，基本，根據，主要成分(或要素)，(認識論中的)基本原則或原理，(n)
bat@3蝙蝠，(n)
bean@4豆，(n)
beard@5鬍鬚，倒鉤，(n)
beginning@9開始，起源，(n)
behave@6行為，表現，舉止，(vt)，(機器等)運轉，(vi)
being@5be 的現在分詞，(v)，存在，生存，(n)
beyond@6在…那邊，遠於，超出，超過，(prep)，在遠處，(adv)
bicycle riding@14騎腳踏車，(n)
biology@7生物學，生物(總稱)，(n)
bit@3一點，一些，(n)
bitter@6痛苦的，有苦味的，寒冷入骨的，(adj)
blame@5責備，責怪，把…歸咎於，(vt)，(過錯，事故等的)責任，責怪，責備，(n)
blank@5空的，空白的，(adj)
blouse@6女式襯衫，(n)
board@5(木)板，董事會，(n)，上(車，船或飛機)，(vt)
bomb@4炸彈，(n)
bookcase@8書櫥，(n)
both xxx and@12兩個都…，既…又…
bother@6打擾，麻煩，(v)，麻煩，打擾，(n)
bowling@7保齡球，(n)
boyfriend@9男朋友，(n)
brick@5磚，積木，(n)
Britain@7英國，(n)
brunch@6早午餐，(n)
buffet@6自助餐廳，(n)，打擊，毆打，(v)
bug@3蟲，軟體錯誤，(n)
building@8建築物，大樓，(n)
bun@3小圓麵包，(n)
bundle@6包，捆，束，(n)，包紮，捆，(v)
burger@6(口)漢堡，(n)
burst@5爆裂，(v)，爆炸，爆裂，(n)
bus stop@8公共汽車站，(n)
butterfly@9蝴蝶，(n)
cabbage@7甘藍菜，捲心菜，(n)
cabinet@7(有抽屜或格子的)櫥櫃，(美)內閣，(n)，(美)內閣的，小巧的，(adj)
cable@5粗索，電纜，錨鏈，(n)
cafeteria@9自助餐廳，(n)
calendar@8月曆，行事曆，(n)
camping@7露營，(n)
campus@6校園，園區，(n)
Canada@6加拿大，(n)
Canadian@8加拿大人，(n)
cancel@6取消，(v)
cancer@6癌，(n)
careless@8不注意的，粗心大意的，(adj)
cash@4現金，(n)
cassette@8(裝錄音帶的)卡式盒(匣)，(n)
CD@2光碟(Compact Disk 縮寫)，(n)，雷射唱片，(n)
CD player@9雷射唱片播放器，(n)
centimeter@10釐米，公分，(n)
century@7世紀，百年，(n)
cereal@6穀物，穀類食品(麥片等)，(n)
certain@7確定的，肯定的，(adj)
channel@7海峽，水渠，水道，通訊頻道，(n)
character@9性格，特性，特質，品格，人物，(n)
charge@6索價，控告，充電，(vt)，費用，指控，充電，(n)
chase@5追趕，驅逐，追求，追捕，(v)
cheerleader@11啦啦隊隊長，(n)
chemical@8化學的，(adj)
chess@5西洋棋，(n)
childhood@9孩童時期，(n)
childish@8孩子氣的，幼稚的，傻氣的，(adj)
childlike@9孩子似的，天真無邪的，(adj)
chin@4下巴，下頷，(n)
Chinese New Year@16農曆新年，(n)
choice@6選擇，抉擇，(n)
chubby@6胖嘟嘟的，圓胖的，(adj)
claim@5聲稱，主張，要求，(vt)，要求，主張，斷言，(n)
clap@4拍手，拍，輕敲，(v)
class leader@12班長，(n)
classical@9古典的，模範的，傳統的，(adj)
climate@7氣候，風土，潮流，(n)
climbing@8攀登，登山，(n)
closet@6壁櫥，小櫥，(n)
coach@5長途公共汽車，車廂，教練，(n)，訓練，指導，(vt)
cockroach@9蟑螂，(n)
command@7命令，指揮，(vt)，命令，控制，(n)
comment@7註釋，註解，說明，(n)，評論，(v)
complain@8抱怨，(v)
computer game@13電腦遊戲，(n)
confident@9自信的，(adj)
confuse@7使混亂，(vt)
contact lens@12隱形眼鏡，(n)
contract@8合同，契約，(n)，訂合同，縮小，(vi)
convenience store@17便利商店，(n)
cooking@7烹調，(n)，烹調用的，(adj)
court@5庭院，場地，法庭，法院，(n)
crab@4蟹，挑剔者，(n)
create@6創造，創作，(v)
credit card@11信用卡，(n)
crime@5犯罪，罪行，罪惡，(n)
crowded@7擁擠的，客滿的，(adj)
culture@7文化，教養，修養，(n)
curve@5曲線，(n)
custom@6風俗習慣，(n)
damage@6毀壞，損害，(vt)，毀壞，(複)賠償金，(n)
debate@6辯論，爭論，(n)
decorate@8裝飾，裝璜，(vt)
deliver@7投遞，發表，分娩，(vt)
dessert@7甜點，(n)
determine@9決定，決心，(vt)
direct@6直接的，(adj)，指示，導演，管理，(vt)
director@8指導者，主任，董事，導演，(n)
doubt@5懷疑，(n)
downstairs@10樓下(的)，(n)
drum@4鼓，(n)
dumb@4啞的，(adj)
dumpling@8餃子，(n)
duty@4職責，責任，義務;(複)關稅，(n)
either xxx or@13或者…或者…
employ@6雇用，使用，(vt)
entire@6全部的，整個的，(adj)
environment@11環境，周圍狀況，(n)
European@8歐洲的，(adj)，歐洲人，(n)
even if@7即使，縱然，(片)
examine@7檢查，調查，考試，(v)
express@7表示，表達，(vt)，快車，快遞，(n)
fellow@6人，人員，研究員，[口語]傢伙，小夥子，(n)，同伴的，(adj)
field@5田地，田野，領域，範圍，(n)
fit@3適合，合身，(vt)，適合，符合，(vi)
flat@4平的，平坦的，(adj)，公寓，(n)
flute@5笛，長笛，(n)
focus@5(使)聚焦，使(集中)，(v)，焦點，(注意，活動，興趣等的)中心，(n)
fog@3霧，(n)，霧，(v)
foggy@5多霧的，(adj)
former@6在前的，以前的，(adj)，前者，(n)
France@6法國，(n)
French fries@12炸薯條，(n)
frog@4青蛙，(n)
furniture@9傢俱，(n)
gain@4獲得，增加，(vt)，受益，增加，(vi)
general@7一般的，通用的，(adj)，將軍，(n)
generous@8慷慨的，大方的，寬厚的，(adj)
geography@9地理(學)，(n)
Germany@7德國，(n)
get off@7下車，從…下來，(片)
get on@6上車，(片)
glue@4膠水，(n)
goose@5鵝，(n)
granddaughter@13孫女，外孫女，(n)
grandson@8孫子，外孫，(n)
grape@5葡萄，(n)
greedy@6貪食的，貪婪的，貪心的，(adj)
guitar@6吉他，(n)
gym@3體操房，(n)
handle@6柄，把手，(n)，拿，操作，處理，(vt)
hanger@6掛衣架，(n)
helicopter@10直升飛機，(n)
highway@7公路，(n)
hippo@5河馬，(n)
hole@4洞，孔，眼，(n)
horrible@8恐怖的，(adj)
housewife@9家庭婦女，(n)
humble@6謙遜的，謙恭的，地位低下的，卑賤的，(adj)
imagine@7料想，設想，想像，(vt)
in front of@11在…的前面，(片)
